MetaB_module_ID	module_color	module_name	metabolome_name
MetaB_M022	brown2	MEbrown2	CPD3418
MetaB_M023	brown4	MEbrown4	CPD0982
MetaB_M023	brown4	MEbrown4	CPD1176
MetaB_M023	brown4	MEbrown4	CPD1250
MetaB_M023	brown4	MEbrown4	CPD1293
MetaB_M023	brown4	MEbrown4	CPD1557
MetaB_M023	brown4	MEbrown4	CPD2072
MetaB_M023	brown4	MEbrown4	CPD2103
MetaB_M023	brown4	MEbrown4	CPD2406
MetaB_M023	brown4	MEbrown4	CPD2514
MetaB_M023	brown4	MEbrown4	CPD2880
MetaB_M023	brown4	MEbrown4	CPD3198
MetaB_M023	brown4	MEbrown4	CPD3214
MetaB_M023	brown4	MEbrown4	CPD3215
MetaB_M023	brown4	MEbrown4	CPD3429
MetaB_M023	brown4	MEbrown4	CPD3461
MetaB_M023	brown4	MEbrown4	CPD3540
MetaB_M024	burlywood	MEburlywood	CPD0427
MetaB_M024	burlywood	MEburlywood	CPD1157
MetaB_M024	burlywood	MEburlywood	CPD1692
MetaB_M024	burlywood	MEburlywood	CPD1987
MetaB_M024	burlywood	MEburlywood	CPD2435
MetaB_M024	burlywood	MEburlywood	CPD2726
MetaB_M024	burlywood	MEburlywood	CPD2877
MetaB_M024	burlywood	MEburlywood	CPD3228
MetaB_M025	burlywood1	MEburlywood1	CPD0334
MetaB_M025	burlywood1	MEburlywood1	CPD1074
MetaB_M025	burlywood1	MEburlywood1	CPD1320
MetaB_M025	burlywood1	MEburlywood1	CPD1491
MetaB_M025	burlywood1	MEburlywood1	CPD2216
MetaB_M025	burlywood1	MEburlywood1	CPD2491
MetaB_M025	burlywood1	MEburlywood1	CPD2802
MetaB_M026	burlywood2	MEburlywood2	CPD0358
MetaB_M026	burlywood2	MEburlywood2	CPD0384
MetaB_M026	burlywood2	MEburlywood2	CPD0605
MetaB_M026	burlywood2	MEburlywood2	CPD0694
MetaB_M026	burlywood2	MEburlywood2	CPD2046
MetaB_M026	burlywood2	MEburlywood2	CPD2901
MetaB_M027	burlywood3	MEburlywood3	CPD0071
MetaB_M027	burlywood3	MEburlywood3	CPD0113
MetaB_M027	burlywood3	MEburlywood3	CPD0132
MetaB_M027	burlywood3	MEburlywood3	CPD0174
MetaB_M027	burlywood3	MEburlywood3	CPD0218
MetaB_M027	burlywood3	MEburlywood3	CPD0279
MetaB_M027	burlywood3	MEburlywood3	CPD0331
MetaB_M027	burlywood3	MEburlywood3	CPD0336
MetaB_M027	burlywood3	MEburlywood3	CPD0394
MetaB_M027	burlywood3	MEburlywood3	CPD0459
MetaB_M027	burlywood3	MEburlywood3	CPD0489
MetaB_M027	burlywood3	MEburlywood3	CPD0567
MetaB_M027	burlywood3	MEburlywood3	CPD0794
MetaB_M027	burlywood3	MEburlywood3	CPD0814
MetaB_M027	burlywood3	MEburlywood3	CPD0932
MetaB_M027	burlywood3	MEburlywood3	CPD1105
MetaB_M027	burlywood3	MEburlywood3	CPD1107
MetaB_M027	burlywood3	MEburlywood3	CPD1277
MetaB_M027	burlywood3	MEburlywood3	CPD2021
MetaB_M027	burlywood3	MEburlywood3	CPD2298
MetaB_M027	burlywood3	MEburlywood3	CPD2342
MetaB_M027	burlywood3	MEburlywood3	CPD2571
MetaB_M027	burlywood3	MEburlywood3	CPD2608
MetaB_M027	burlywood3	MEburlywood3	CPD2640
MetaB_M027	burlywood3	MEburlywood3	CPD2677
MetaB_M027	burlywood3	MEburlywood3	CPD2993
MetaB_M027	burlywood3	MEburlywood3	CPD3613
MetaB_M028	burlywood4	MEburlywood4	CPD0078
MetaB_M028	burlywood4	MEburlywood4	CPD0337
MetaB_M028	burlywood4	MEburlywood4	CPD1018
MetaB_M028	burlywood4	MEburlywood4	CPD1043
MetaB_M028	burlywood4	MEburlywood4	CPD1786
MetaB_M029	chartreuse2	MEchartreuse2	CPD1978
