module_ID	module_name	category_C	category_B
M00548	Benzene degradation, benzene => catechol	Aromatics degradation	Xenobiotics biodegradation
M00549	UDP-Glc biosynthesis, Glc => UDP-Glc	Nucleotide sugar biosynthesis	Glycan metabolism
M00550	Ascorbate degradation, ascorbate => D-xylulose-5P	Other carbohydrate metabolism	Carbohydrate metabolism
M00551	Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol	Aromatics degradation	Xenobiotics biodegradation
M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	Other carbohydrate metabolism	Carbohydrate metabolism
M00554	UDP-Gal biosynthesis, Gal => UDP-Gal	Nucleotide sugar biosynthesis	Glycan metabolism
M00555	Betaine biosynthesis, choline => betaine	Serine and threonine metabolism	Amino acid metabolism
M00563	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	Methane metabolism	Energy metabolism
M00564	Helicobacter pylori pathogenicity signature, cagA pathogenicity island	Pathogenicity	Gene set
M00565	Trehalose biosynthesis, D-glucose 1P => trehalose	Other carbohydrate metabolism	Carbohydrate metabolism
M00567	Methanogenesis, CO2 => methane	Methane metabolism	Energy metabolism
M00568	Catechol ortho-cleavage, catechol => 3-oxoadipate	Aromatics degradation	Xenobiotics biodegradation
M00569	Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA	Aromatics degradation	Xenobiotics biodegradation
M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	Branched-chain amino acid metabolism	Amino acid metabolism
M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00573	Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00574	Pertussis pathogenicity signature, pertussis toxin	Pathogenicity	Gene set
M00575	Pertussis pathogenicity signature, T1SS	Pathogenicity	Gene set
M00577	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00579	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	Carbon fixation	Energy metabolism
M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	Central carbohydrate metabolism	Carbohydrate metabolism
M00595	Sulfur oxidation, SOX system, thiosulfate => sulfate	Sulfur metabolism	Energy metabolism
M00596	Dissimilatory sulfate reduction, sulfate => H2S	Sulfur metabolism	Energy metabolism
M00608	2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate	Methane metabolism	Energy metabolism
M00609	Cysteine biosynthesis, methionine => cysteine	Cysteine and methionine metabolism	Amino acid metabolism
M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Carbon fixation	Energy metabolism
M00621	Glycine cleavage system	Serine and threonine metabolism	Amino acid metabolism
M00622	Nicotinate degradation, nicotinate => fumarate	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00623	Phthalate degradation, phthalate => protocatechuate	Aromatics degradation	Xenobiotics biodegradation
M00624	Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate	Aromatics degradation	Xenobiotics biodegradation
M00625	Methicillin resistance	Drug resistance	Gene set
M00627	beta-Lactam resistance, Bla system	Drug resistance	Gene set
M00630	D-Galacturonate degradation (fungi), D-galacturonate => glycerol	Other carbohydrate metabolism	Carbohydrate metabolism
M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	Other carbohydrate metabolism	Carbohydrate metabolism
M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	Other carbohydrate metabolism	Carbohydrate metabolism
M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P	Central carbohydrate metabolism	Carbohydrate metabolism
M00636	Phthalate degradation, phthalate => protocatechuate	Aromatics degradation	Xenobiotics biodegradation
M00637	Anthranilate degradation, anthranilate => catechol	Aromatics degradation	Xenobiotics biodegradation
M00638	Salicylate degradation, salicylate => gentisate	Aromatics degradation	Xenobiotics biodegradation
M00649	Multidrug resistance, efflux pump AdeABC	Drug resistance	Gene set
M00651	Vancomycin resistance, D-Ala-D-Lac type	Drug resistance	Gene set
M00652	Vancomycin resistance, D-Ala-D-Ser type	Drug resistance	Gene set
M00661	Paspaline biosynthesis, geranylgeranyl-PP + indoleglycerol phosphate => paspaline	Biosynthesis of other fungal compounds	Biosynthesis of other secondary metabolites
M00672	Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin	Biosynthesis of beta-lactams	Biosynthesis of other secondary metabolites
