metabolites Bger Esin Pame Pful
CPD0039 22.9946077179742 24.918473468483 23.3542507922114 23.2132473018688
CPD0040 25.9796260640985 23.3478255837448 25.6335392101048 25.6684424505836
CPD0041 18.0775111291348 20.0772025670529 19.7200464989969 19.335977302719
CPD0042 22.4943901205911 22.4904648644235 23.7160584208963 23.1024567184909
CPD0043 27.7429234387964 25.4751893321739 27.3891618571412 27.5752900873529
CPD0044 26.3660469168693 24.6431268780859 23.6637895888927 25.5769042717045
CPD0045 31.4179022446587 33.0253901611441 31.9958207968163 31.7774374028366
CPD0046 21.3155303697639 21.8232975598541 20.7161481776634 21.6432552838066
CPD0047 25.1703435362758 25.7357729943762 26.0408892022685 26.6477794309039
CPD0048 20.2831499890265 25.9305731466023 20.2007152631653 20.6546825463137
CPD0049 24.3826618118021 22.3459752285887 24.8122520562117 24.266985837427
CPD0050 22.2390542587892 23.9863325700851 24.902630071088 26.1872709002664
CPD0051 22.6618709311167 23.5579958419633 23.8961818448192 22.6822309306316
CPD0052 20.8651674630036 25.0792307689631 24.3345442636545 21.9952938557764
CPD0053 24.8085140080343 20.717090413644 22.894233373644 22.9093590442158
CPD0054 21.1783820887909 19.3461791077806 25.5534318894563 18.0163105669714
CPD0055 23.7479058139856 23.5055069560573 24.8916026738571 24.1536024220603
CPD0056 25.0526919079514 20.5947512641661 23.7663548849115 23.6868722700485
CPD0057 30.2439276213424 28.6994631934763 28.6791626366699 28.998613164187
CPD0058 20.5734182610601 19.5503905494831 19.3195052605952 19.1261483105915
CPD0059 27.3710297067637 21.8353247010541 25.5166772815998 24.9670385676651
CPD0060 19.4223649960048 19.4121714937563 21.1718865001031 23.6925717397919
CPD0061 28.4359725665089 28.0885827139729 29.2976438063217 29.9284281726812
CPD0062 20.0362389688375 18.3515653394105 20.4146155340301 20.1286809842087
CPD0063 24.2720312501718 22.8624298378773 23.3120145740716 23.0066729528167
CPD0064 27.5176824954505 24.1325154187579 23.3807275796071 25.2353888505251
CPD0065 21.5780670037809 22.063486700587 21.34281284431 23.5639559941702
CPD0066 27.5932792247715 26.5451902935587 27.2462307088714 27.4371988010663
CPD0067 23.2693250351301 24.2872126232341 23.8178088294258 23.9927738880775
CPD0068 26.803732575485 23.9709717909931 25.89671554431 24.9569999996469
CPD0069 17.8438515143608 20.3071699025528 21.6615884800315 20.9658611247106
CPD0070 17.299484321608 20.1007509681003 19.6641126981899 21.2491068210998
CPD0071 22.8725221173319 23.4788365934964 23.592914675573 25.2355275030814
CPD0072 23.9876420713958 23.9419351978914 24.3418974770668 24.2167267205676
CPD0073 24.083258211607 24.0897906434572 24.3557576822386 23.5100135671002
CPD0074 22.9254268458636 24.858028319239 24.1575014257891 23.6831729604994
CPD0075 20.8011287554402 19.6245835960014 20.7505799306832 21.2642491618515
CPD0076 25.3258116299748 23.8839399948472 24.6293175375981 24.5423500016487
CPD0077 23.2807698316868 22.7971670378791 22.5480561152194 22.4722098812533
CPD0078 25.3892477665404 22.4961411739737 22.8975592381458 24.6989192193694
CPD0079 19.4605619551718 19.2398940752326 20.2687513263249 20.497380764852
CPD0080 23.9485221114744 21.408754398298 23.0229632512837 23.7234212621079
CPD0081 22.5795195143371 25.1966604714048 25.2183668186694 24.2615716244343
CPD0082 22.5795195143371 25.1966604714048 25.2183668186694 24.2615716244343
CPD0083 21.0382367777454 21.3914225600509 21.3044583848827 21.9965233041604
CPD0084 19.3152097466716 19.1697656495388 18.7907563544872 19.2391109386636
CPD0085 24.1229687282183 27.0519261565343 23.9046506626452 24.0657928755572
CPD0086 17.5333905126965 20.1570225691045 20.5388735279369 19.5835219031853
CPD0087 28.027285016964 29.5786408440745 28.2292214868294 28.3778238735867
CPD0088 24.8511840830232 26.1337302035941 24.7843366960436 24.9475082232689
CPD0089 22.0727495567984 20.415166711738 20.3639243350102 20.8179729093824
CPD0090 19.5999720717774 19.922075468801 19.429306485204 20.7360105261022
CPD0091 23.9020826701643 20.8116265369836 22.5141977164338 22.2115634288601
CPD0092 26.1743550709418 20.4288559210522 24.4922886369138 24.153317244551
CPD0093 22.723694277656 20.916178497557 23.4542135918253 24.8093909702578
CPD0094 26.1907056267297 25.2609453386386 24.7548298949372 24.9219739899938
CPD0095 27.9041308093175 28.3174071568038 26.9754210845742 28.0444623339969
CPD0096 24.7894773341343 22.6789030682566 23.8777725761583 23.5360762663928
CPD0097 21.4923370582351 20.0546838010323 18.1930484403449 18.9162058311112
CPD0098 28.5910576986241 28.8286390894433 29.0655680176562 28.7340149873988
