gene Fam Hos Lab Res Wild
Pame_00695.t1 5.8948575819491 6.51727599084365 5.52306646778952 6.2462563241574 6.50538069403471
Pame_00696.t1 3.01277262221455 3.94167396864249 2.63086737533192 3.29810060890464 3.41085650936767
Pame_00699.t1 6.20824922792053 6.46948895792333 5.96960946688833 6.43428988822366 5.3635202837306
Pame_00700.t1 3.15493062738086 3.72359924860739 2.61058395485136 3.529058916004 3.25002092299557
Pame_00701.t1 3.03166230051486 3.67641387456904 2.66596068412045 3.6999908573164 3.19703472114684
Pame_00704.t1 11.1514338009467 11.507077731951 10.9927297268463 11.3067627764041 10.5797098765577
Pame_00708.t2 2.53139743125432 2.00258986366654 3.0011184581488 2.58682537219777 2.86215416933777
Pame_00712.t1 2.90186600333482 3.03515200703823 2.15009272219514 3.06388686909985 4.34244832742229
Pame_00714.t1 2.846193450425 2.80488575602608 3.00536126441283 2.93698877571148 4.32175396780312
Pame_00719.t1 3.19078479994703 3.74652329479314 2.87914971149536 3.39141053835414 3.74924117834467
Pame_00721.t1 1.69225574738394 2.18573471477224 1.22548942646105 1.69953352612259 4.11199186140889
Pame_00722.t1 3.32855588215358 3.7610881350096 3.02509862516628 3.6036048455137 3.88704555401324
Pame_00724.t1 2.21169180966641 2.04219976056231 2.22929345076643 2.21383423506519 2.63626161512787
Pame_00732.t1 5.09660920703966 5.3434187037876 4.92012871148038 5.2313669198981 3.67140078713065
Pame_00733.t1 7.10320787450354 7.41099610145752 6.84400801745193 7.40034969253083 7.03701971470692
Pame_00748.t1 6.02011974150355 6.75976299015544 5.34668930236724 6.42176112146899 6.72191008871123
Pame_00749.t4 2.93719027686178 2.82989581982904 2.83431935504965 3.08685496165185 2.91493219946111
Pame_00750.t1 4.57044934784879 5.23165519266182 4.47476028735136 4.92304870289926 4.46900760934258
Pame_00751.t2 3.74150783582154 3.89864880118171 3.52695963807034 4.10143398122983 3.9459203040937
Pame_00752.t1 2.59943278099435 2.51385249350184 1.80802825180347 2.89454404512815 2.5238213473138
Pame_00758.t1 3.92961468813733 4.21999457123274 3.73620763618167 4.10798628634702 4.19746852456997
Pame_00771.t1 5.1869271132101 5.1771213272923 4.64133014812351 5.24025342927401 4.71309937971985
Pame_00772.t1 4.38762753557254 4.39398456665567 3.94644408550742 4.385050411197 4.45028490976302
Pame_00773.t1 2.01889724587951 2.28908282658964 1.58069673356727 2.20614310306007 3.89042904529644
Pame_00774.t1 3.37850004221155 3.48903754998207 2.8068951150415 3.55488476487513 2.18975946808789
Pame_00775.t1 2.34389571056068 2.3691893826105 1.9441128513324 2.52966971604649 2.26891122557895
Pame_00778.t1 4.16984364879594 4.54311978896869 3.69809314467382 4.49093646933579 4.7090860021248
Pame_00781.t1 2.54333023045176 2.50246683828075 2.06243148117077 2.68327803330889 1.99098489548077
Pame_00782.t1 1.58193020453155 1.92529896224939 1.71952132088614 2.07664724073874 2.76522206676308
Pame_00784.t1 5.03390480219666 4.83268275222511 4.38201421103817 5.06608309194614 5.08461136425811
Pame_00787.t1 2.08160710025508 2.69372508620546 1.7152610082236 2.37709818209494 2.23367238928448
Pame_00788.t1 3.91211141183198 4.30220337839545 3.65949965701436 3.95872057357249 3.14140151847715
Pame_00789.t1 9.27624392304947 9.70508573954806 9.16008950364095 9.40013231521532 8.05330651814128
