gene	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
K09961	50.79639235	26.94980991	25.50092989	62.61493432	33.64853959	88.7100136	26.38422585	19.72498926	24.7622535	19.43958869	13.4563616	21.0520135	52.75859815	35.74642078	33.59254375	40.02522665	34.25319645	31.56268161	65.89773801	51.21266221	50.32636042	79.4711335	53.17204967	73.51613147
K09962	19.8483084	21.94235836	18.67454201	13.08985079	18.3947909	21.67014824	26.44927465	22.38681655	14.10232725	32.78324622	19.618897	20.24414611	32.51263251	22.4872625	22.6503953	27.90562823	26.89481543	24.97503415	13.67085752	16.32463201	15.36490145	16.98243237	11.59244308	16.41947038
K09963	63.42942033	22.2966796	52.18841465	34.86432923	27.88780249	33.29321496	86.78011393	44.82721627	73.17045242	71.96797275	51.9426971	57.85076014	47.16192713	97.45117208	19.56951025	11.67476498	18.53398161	14.6664997	55.39471533	26.45611623	42.11904452	23.84829936	43.07781491	40.86628439
K09964	81.38975971	67.91495212	79.41453846	120.5341139	73.80608439	52.62861009	8.796544666	11.81183091	1.47842922	1.903601663	6.415269554	3.65568277	9.559287926	10.91139112	14.43931477	11.21204229	12.46713554	12.18470275	13.49455419	17.6308049	14.55451487	32.81409819	18.93634213	18.15254216
K09965	4.69761528	5.490146703	4.86714846	1.59078017	5.41768141	4.793786	4.84502508	5.572819367	0.412693885	0.193689022	0.47090714	0.86212134	0.849613134	0.767641477	0.89591627	0.614486659	0.722014634	0.870744694	0.389571973	0.434356222	0.871268586	0.76681179	0.506841614	0.9732926
K09967	7.103024289	6.633028978	7.303165877	5.139762634	8.591143807	11.19971522	3.928147656	4.281890325	4.636202531	4.52728336	6.77601566	16.06586004	13.15660143	11.66880916	14.66642501	17.65134448	19.87704212	16.65576212	6.586493888	4.494732815	4.443026723	4.136867764	5.59231596	3.776301934
K09968	4.6404093	0.49008154	10.78596817	3.754957238	2.166818255	1.052033474	12.80255612	13.72885693	12.64493228	13.11979934	18.38431742	13.44734557	9.631246084	7.551827376	5.781660901	5.389204751	5.951864287	6.237934064	3.314367217	4.211273254	3.201332934	10.44615949	2.647084356	4.84790403
K09969	3.634842744	2.331271274	2.513569955	1.036260614	3.364299666	3.52102465	5.415325096	8.341858665	2.149922005	2.340869893	2.936660256	6.81786122	1.00859323	1.970514732	1.161532304	1.247429323	1.137039133	1.255484149	4.402710733	4.870156308	7.727769333	6.439168559	8.959229442	5.348157128
K09970	1.167174113	1.152218987	1.23234147	0.478893837	0.620577767	1.067049919	0.98269599	0.644868324	0.89212634	0.67867837	1.28606603	2.35241921	1.165603753	2.454610876	1.857008313	1.564455398	1.53488543	1.162738868	3.231956703	2.670629321	5.651827595	4.991140267	7.121324394	4.124395273
K09971	1.014043828	0.91354145	0.994101914	0.171499486	0.446542202	0.711807297	0.744829244	1.00790865	0.538268935	0.620365247	1.253594274	2.0396391	0.96762612	1.76225403	1.246819201	1.050129048	0.79011122	0.834901873	3.75727228	3.031492975	6.363714425	5.088289996	6.926277727	4.384123288
K09972	0.88950314	0.89671054	0.329016266	0.123755815	0.428505263	1.10249358	2.62050442	2.92710773	1.38559778	2.0563605	2.514962344	4.68235975	1.336262384	1.81437843	1.22868527	0.89809169	0.711181498	0.784554135	3.75434314	3.282724209	7.249976101	5.43230475	8.73010798	4.908243904
K09973	170.5961378	163.8042145	180.5024392	185.369213	183.5189674	123.0829418	108.5917544	107.4228595	110.417307	116.8407173	110.3161605	105.5916708	82.33624229	71.80244688	93.91549667	81.26600453	87.59114553	88.41399117	76.12905613	90.33998812	93.87905706	109.3141003	90.32478326	91.69196921
K09974	142.3420623	119.6349922	137.7017865	167.3243335	132.9664224	121.6487284	35.60161276	43.15792978	39.30093946	36.35239709	55.94971717	36.3980934	49.68656059	40.95382802	50.95136707	52.45742813	60.56961823	51.81725846	98.61980231	79.43043513	86.42265548	75.50419645	88.68533256	79.62058305
